Таска,Files & media,GEO,Id,Post,Text,link,Баєр,Дата взяття в роботу,Дата видачі,Дата створення,Дизайнер,К-сть,Креатив,Мова,Пріорітет,Розмір,Статус таски,Тип креатива:
"Мульти Слот ",Design%20Room/AppJack1.mp4,,TS-71,"ID: TS-71
Buyer: @vaddarm96
Task: https://www.notion.so/33d23fd746b680438404f59846d7c2db?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/33d23fd746b680438404f59846d7c2db?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@vaddarm96,,,"April 9, 2026 2:57 PM",@Sanchouzini(Саша З.),4,Відео,"англійська ",Medium,Квадрат(1:1),Виконано,з нуля
"Койн Страйк  ","Design%20Room/CoStFR6.mp4, Design%20Room/image%202.png",,TS-72,"ID: TS-72
Buyer: @vaddarm96
Task: https://www.notion.so/33d23fd746b680df9b68eead2c6d364e?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/33d23fd746b680df9b68eead2c6d364e?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@vaddarm96,,,"April 9, 2026 3:02 PM",@omotiongg(Влад),4,Відео,англійська,Medium,Reels(9:16),Виконано,з нуля
Зміна валюти і банку,Design%20Room/2813824992_IQ.mp4,"JO, Мультигео",TS-73,"ID: TS-73
Buyer: @Yak08lev
Task: https://www.notion.so/33d23fd746b68093bfa2c03e065b8982?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/33d23fd746b68093bfa2c03e065b8982?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,,"April 9, 2026 5:19 PM",@Sanchouzini(Саша З.),2,Відео,"Арабська ",Medium,Reels(9:16),Виконано,Адаптація
coin volcano 2,,FR,TS-74,"ID: TS-74
Buyer: @Yak08lev
Task: https://www.notion.so/coin-volcano-2-33d23fd746b68076ae44cd16c174df22?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",https://drive.google.com/file/d/1LXPa6ALHNq7RvHZshUtuY0aWB7d28l7O/view?usp=drive_link,https://www.notion.so/coin-volcano-2-33d23fd746b68076ae44cd16c174df22?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,,"April 9, 2026 9:21 PM",@omotiongg(Влад),2,Відео,"Французька ",Medium,Reels(9:16),Виконано,з нуля
Африка статика,"Design%20Room/c6cde48e-2316-491a-b3d7-6c129c1e4a77.png, Design%20Room/a36e37a5-7f81-44f2-acde-e737ce808b47.png","senegal, tanzania",TS-75,"ID: TS-75
Buyer: @yaroslav20ttt
Task: https://www.notion.so/33d23fd746b6803aae16cdb0973b9f43?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/33d23fd746b6803aae16cdb0973b9f43?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@yaroslav20ttt,,,"April 10, 2026 12:39 AM",@dmitriy_designer_gamble(Діма),10,Статика,Swahili - France,Medium,Reels(9:16),Виконано,з нуля
"банкинг ",,"JO, lb, sa, sn, tz",TS-76,"ID: TS-76
Buyer: @yaroslav20ttt
Task: https://www.notion.so/33d23fd746b680f996ecc1d7b21543cd?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/33d23fd746b680f996ecc1d7b21543cd?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@yaroslav20ttt,,,"April 10, 2026 2:23 AM",@dmitriy_designer_gamble(Діма),6,Статика,,Medium,Reels(9:16),Виконано,з нуля
Банк>Курка,Design%20Room/2822706918_EG_v2eg88ch.mp4,SY(Сирія),TS-77,"ID: TS-77
Buyer: @Yak08lev
Task: https://www.notion.so/33e23fd746b680fa8ab9df18921e96a2?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/33e23fd746b680fa8ab9df18921e96a2?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,,"April 10, 2026 10:52 AM",@Sanchouzini(Саша З.),2,Відео,Арабська,Medium,Reels(9:16),Виконано,Адаптація
Чікен,,SY(Сирія),TS-78,"ID: TS-78
Buyer: @Yak08lev
Task: https://www.notion.so/33e23fd746b6806a8c93c7b3a9f54987?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/33e23fd746b6806a8c93c7b3a9f54987?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,,"April 10, 2026 11:21 AM",@FoxcreativeS(Денис),1,Відео,Арабська,Medium,Reels(9:16),Виконано,з нуля
Плінко  KG,"Design%20Room/AQMiZKdVg6CO_yFm_khZDghPI-5UR5k5uafAuDeN2bxonNC59xdspOqQ3ZSd76oOOc2n_dfWSN-7PYxC_HPqOLUK6ZgD35cfjlz_uXNKkEFYiA.mp4, Design%20Room/kg1.mp4, Design%20Room/2627873383_KG_v5.mp4",KG,TS-79,"ID: TS-79
Buyer: @osza2
Task: https://www.notion.so/KG-33e23fd746b68093b083e2ce13186927?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/KG-33e23fd746b68093b083e2ce13186927?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@osza2,,,"April 10, 2026 1:01 PM",@Vitarillio_diz(Віталік),6,Відео,"киргизська ",Medium,Reels(9:16),Виконано,з нуля
Slot,Design%20Room/gemi10.mp4,"MY, UZ",TS-82,"ID: TS-82
Buyer: @bratyshkoo
Task: https://www.notion.so/Slot-33e23fd746b680cdb1dad1d38b5aece0?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Slot-33e23fd746b680cdb1dad1d38b5aece0?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@bratyshkoo,,,"April 10, 2026 10:42 PM",@Vitarillio_diz(Віталік),3,Відео,england/малайська/узбецька,Medium,Reels(9:16),Виконано,Адаптація
